rfid,subid,name,long,lat,area,perim,bleach,blchyn,year
10325,S,North Ledge,142.74,-10.68,0.000482987,0.112430545,4,1,1998
10327,S,South Ledge,142.73,-10.7,0.002727001,0.278056603,4,1,1998
10336,S,Wyborn Reef,142.76,-10.82,0.000972495,0.145008076,4,1,1998
10338,S,Womer Reef,142.98,-10.8,0.000176765,0.062292376,4,1,1998
10340,S,Turtle Island Reef,142.7,-10.89,2.38E-05,0.026305134,4,1,1998
11001,S,Arnold Reef,142.99,-11.01,5.12E-05,0.043238892,4,1,1998
11008,S,U/N Reef,142.82,-11.25,0.000133474,0.059197014,3,1,1998
11009,S,Bushy Island Reef,142.87,-11.26,0.000154685,0.066145435,4,1,1998
11010,S,Cairncross Islets Reef,142.93,-11.25,0.000161662,0.10284335,4,1,1998
11013,S,Halfway Islet Reef,142.97,-11.39,5.64E-05,0.032777189,3,1,1998
11025,S,U/N Reef,143.09,-11.07,0.001105041,0.126555468,4,1,1998
11026,S,Sinclair Reef,143.02,-11.11,0.000148707,0.068202472,4,1,1998
11034,S,U/N Reef,143.1,-11.17,0.000960693,0.152944931,4,1,1998
11035,S,Milman-Aplin Reef,143.03,-11.18,0.000493347,0.140203338,3,1,1998
11038,S,Douglas Islet Reef,143,-11.24,0.000153251,0.062797142,4,1,1998
11052,S,Cholmondeley Reef,143.07,-11.39,0.000646539,0.122954672,4,1,1998
11055,S,Wallace Islet Reef,143.04,-11.46,0.00031418,0.084891233,4,1,1998
11061,S,Little Boydong Reef,143.04,-11.49,0.000220676,0.076159285,4,1,1998
11091,S,U/N Reef,143.96,-11.4,7.29E-05,0.036291681,5,0,1998
11132,S,Hunter Reefs,142.87,-11.51,0.000388835,0.075750091,3,1,1998
11136,S,Hannibal Islands Reef,142.94,-11.6,0.000217506,0.089904068,4,1,1998
11138,S,MacArthur Islands Reef,142.99,-11.73,0.000245953,0.102010695,4,1,1998
11139,S,U/N Reef,142.97,-11.76,0.00053884,0.108749078,3,1,1998
11142,S,U/N Reef,142.94,-11.77,0.000404336,0.100033544,4,1,1998
11146,S,Nigger Head Reef,142.94,-11.8,3.63E-05,0.029953444,4,1,1998
11150,S,U/N Reef,142.94,-11.84,2.27E-05,0.017406833,3,1,1998
11156,S,Wizard Reef,143.02,-11.55,0.001666845,0.155343576,4,1,1998
11161,S,Viking Reef,143.01,-11.6,0.000317472,0.078315954,4,1,1998
11167,S,Bird Islands Reef (North),143.08,-11.77,0.00028518,0.113105574,4,1,1998
11173,S,Cockburn Reef,143.36,-11.82,0.02373252,0.673781563,5,0,1998
11175,S,U/N Reef,143.3,-11.87,3.78E-06,0.007885893,5,0,1998
11176,S,Rodney Reef,143.11,-11.9,0.000174124,0.073517452,2,1,1998
11185,S,Nob Reef,143.27,-11.95,1.85E-05,0.020200249,4,1,1998
11186,S,U/N Reef,143.27,-11.96,6.14E-05,0.045783138,4,1,1998
11191,S,Hicks Reef,143.26,-11.99,0.00011589,0.122388659,4,1,1998
11240,S,Yule Detached Reef,143.99,-11.95,0.001076692,0.15438743,5,0,1998
11243,S,Raine Reef,144.04,-11.59,0.000181699,0.078382008,5,0,1998
12001,S,Haggerston Reef,143.3,-12.03,0.000308006,0.107203203,4,1,1998
12004,S,Moody Reef,143.26,-12.1,0.000488187,0.099717551,4,1,1998
12006,S,Laurel Reef,143.27,-12.14,0.000141603,0.06086205,5,0,1998
12007,S,Nomad Reef,143.37,-12.14,0.004960603,0.471316335,4,1,1998
12010,S,Kay Reef,143.28,-12.23,0.000593679,0.129200781,4,1,1998
12037,S,Wishbone Reef,143.97,-12.08,0.001049626,0.258036023,5,0,1998
12056,S,Mantis Reef,143.92,-12.27,0.002267862,0.426339775,5,0,1998
12084,S,Lloyd Island Reef,143.4,-12.75,0.000170469,0.125111021,4,1,1998
12105,S,Burke Reef,143.56,-12.64,0.000788302,0.140839568,3,1,1998
12112,S,Ape Reef,143.61,-12.71,0.000872106,0.16843798,3,1,1998
12115,S,Zenith Reef,143.61,-12.77,0.0001994,0.071199621,3,1,1998
12118,S,Bligh Reef,143.84,-12.83,0.001297695,0.22685318,5,0,1998
12119,S,Wye Reef,143.61,-12.81,6.19E-05,0.030686786,3,1,1998
13005,S,Ham Reef,143.87,-13.04,0.000159794,0.060163986,5,0,1998
13016,S,NA,143.91,-13.08,NA,NA,5,0,1998
13028,S,Tijou Reef,143.95,-13.14,0.003293573,0.5006714,5,0,1998
13040,S,U/N Reef,143.94,-13.27,0.00026766,0.072728844,5,0,1998
13077,S,U/N Reef,143.84,-13.56,0.006141138,0.47839537,5,0,1998
13078,S,U/N Reef,143.92,-13.64,0.000287872,0.072702992,5,0,1998
13088,S,Lytton Reef,143.91,-13.74,0.003640043,0.439175522,5,0,1998
13108,S,Hedge Reef,143.95,-13.91,0.011255727,0.730361157,5,0,1998
14003,S,Grub Reef,143.98,-14.01,0.002166242,0.461865716,5,0,1998
14016,S,Corbett Reef,144.11,-13.98,0.017444619,0.902886171,5,0,1998
14017,S,Clack Reef,144.24,-14.07,0.001014547,0.192992879,5,0,1998
14018,S,King Island Reef,144.32,-14.1,0.000311201,0.150535468,4,1,1998
14053,S,U/N Reef,144.79,-14.31,0.000648003,0.1247012,5,0,1998
14054,S,Stapleton Reef,144.86,-14.32,0.000391466,0.082780622,5,0,1998
14063,S,Combe Reef,144.95,-14.42,0.003329789,0.250481772,5,0,1998
14082,S,Crescent Reef,145.1,-14.42,0.001255974,0.255832498,5,0,1998
14083,S,Parke Reef,145.32,-14.42,0.001808886,0.183756729,5,0,1998
14085,S,Hilder Reef,145.41,-14.45,0.000983963,0.123512405,5,0,1998
