key,value,date
Scallop,68092,1/1/97
Scallop,68092,12/1/97
Scallop,38997,12/1/98
Scallop,22388,12/1/99
Scallop,13593,12/1/00
Scallop,9875,12/1/01
Scallop,6784,12/1/02
Scallop,9515,12/1/03
Scallop,8795,12/1/04
Scallop,6603,12/1/05
Scallop,9108,12/1/06
Scallop,10639,12/1/07
Scallop,14373,12/1/08
Scallop,19267,12/1/09
Scallop,12822,12/1/10
Scallop,0,12/1/11
Scallop,0,12/1/12
Scallop,0,12/1/13
Octopus,43488,1/1/97
Octopus,43488,12/1/97
Octopus,19563,12/1/98
Octopus,23234,12/1/99
Octopus,17796,12/1/00
Octopus,37819,12/1/01
Octopus,30139,12/1/02
Octopus,20780,12/1/03
Octopus,13202,12/1/04
Octopus,13018,12/1/05
Octopus,15768,12/1/06
Octopus,36696,12/1/07
Octopus,29396,12/1/08
Octopus,30692,12/1/09
Octopus,13905,12/1/10
Octopus,7031,12/1/11
Octopus,8993,12/1/12
Octopus,14964,12/1/13
Seabass,8926,1/1/97
Seabass,8926,12/1/97
Seabass,9317,12/1/98
Seabass,8981,12/1/99
Seabass,12463,12/1/00
Seabass,11940,12/1/01
Seabass,15154,12/1/02
Seabass,12244,12/1/03
Seabass,10020,12/1/04
Seabass,11714,12/1/05
Seabass,12671,12/1/06
Seabass,10682,12/1/07
Seabass,10364,12/1/08
Seabass,11892,12/1/09
Seabass,8176,12/1/10
Seabass,6032,12/1/11
Seabass,4046,12/1/12
Seabass,2656,12/1/13
Squid,20068,1/1/97
Squid,20068,12/1/97
Squid,9546,12/1/98
Squid,8675,12/1/99
Squid,4743,12/1/00
Squid,6786,12/1/01
Squid,2832,12/1/02
Squid,2951,12/1/03
Squid,5651,12/1/04
Squid,6170,12/1/05
Squid,4458,12/1/06
Squid,7481,12/1/07
Squid,4331,12/1/08
Squid,4651,12/1/09
Squid,8276,12/1/10
Squid,7088,12/1/11
Squid,4761,12/1/12
Squid,2300,12/1/13
Red Bandfish,3401,1/1/97
Red Bandfish,3401,12/1/97
Red Bandfish,3448,12/1/98
Red Bandfish,3583,12/1/99
Red Bandfish,4052,12/1/00
Red Bandfish,5444,12/1/01
Red Bandfish,3773,12/1/02
Red Bandfish,3455,12/1/03
Red Bandfish,2626,12/1/04
Red Bandfish,3421,12/1/05
Red Bandfish,3168,12/1/06
Red Bandfish,3120,12/1/07
Red Bandfish,3931,12/1/08
Red Bandfish,3787,12/1/09
Red Bandfish,2308,12/1/10
Red Bandfish,2741,12/1/11
Red Bandfish,1904,12/1/12
Red Bandfish,1477,12/1/13
Goby,10320,1/1/97
Goby,10320,12/1/97
Goby,13532,12/1/98
Goby,15336,12/1/99
Goby,6976,12/1/00
Goby,5835,12/1/01
Goby,3201,12/1/02
Goby,3574,12/1/03
Goby,3883,12/1/04
Goby,4637,12/1/05
Goby,5465,12/1/06
Goby,3790,12/1/07
Goby,3992,12/1/08
Goby,2773,12/1/09
Goby,4484,12/1/10
Goby,6958,12/1/11
Goby,6475,12/1/12
Goby,5610,12/1/13
Smelt,22447,1/1/97
Smelt,22447,12/1/97
Smelt,18551,12/1/98
Smelt,18365,12/1/99
Smelt,14026,12/1/00
Smelt,10842,12/1/01
Smelt,11294,12/1/02
Smelt,14759,12/1/03
Smelt,11800,12/1/04
Smelt,10877,12/1/05
Smelt,13922,12/1/06
Smelt,17720,12/1/07
Smelt,16796,12/1/08
Smelt,13409,12/1/09
Smelt,12534,12/1/10
Smelt,17280,12/1/11
Smelt,13107,12/1/12
Smelt,13530,12/1/13
Bay Mussel,6021,1/1/97
Bay Mussel,6021,12/1/97
Bay Mussel,2238,12/1/98
Bay Mussel,2216,12/1/99
Bay Mussel,588,12/1/00
Bay Mussel,3755,12/1/01
Bay Mussel,3498,12/1/02
Bay Mussel,4579,12/1/03
Bay Mussel,5488,12/1/04
Bay Mussel,4232,12/1/05
Bay Mussel,4304,12/1/06
Bay Mussel,5529,12/1/07
Bay Mussel,5798,12/1/08
Bay Mussel,4787,12/1/09
Bay Mussel,3583,12/1/10
Bay Mussel,2715,12/1/11
Bay Mussel,3519,12/1/12
Bay Mussel,2648,12/1/13
Hake,8211,1/1/97
Hake,8211,12/1/97
Hake,4786,12/1/98
Hake,4994,12/1/99
Hake,3811,12/1/00
Hake,5435,12/1/01
Hake,5636,12/1/02
Hake,8874,12/1/03
Hake,5001,12/1/04
Hake,10627,12/1/05
Hake,12001,12/1/06
Hake,10668,12/1/07
Hake,5525,12/1/08
Hake,2907,12/1/09
Hake,606,12/1/10
Hake,1132,12/1/11
Hake,1055,12/1/12
Hake,2735,12/1/13
Sprat,9775,1/1/97
Sprat,9775,12/1/97
Sprat,2052,12/1/98
Sprat,5076,12/1/99
Sprat,5529,12/1/00
Sprat,2491,12/1/01
Sprat,3709,12/1/02
Sprat,4425,12/1/03
Sprat,3690,12/1/04
Sprat,4075,12/1/05
Sprat,4866,12/1/06
Sprat,3833,12/1/07
Sprat,3923,12/1/08
Sprat,3601,12/1/09
Sprat,2093,12/1/10
Sprat,3742,12/1/11
Sprat,795,12/1/12
Sprat,999,12/1/13
Clam,2612,1/1/97
Clam,2612,12/1/97
Clam,1,12/1/98
Clam,86,12/1/99
Clam,2,12/1/00
Clam,357,12/1/01
Clam,212,12/1/02
Clam,375,12/1/03
Clam,1267,12/1/04
Clam,1245,12/1/05
Clam,1046,12/1/06
Clam,1292,12/1/07
Clam,1222,12/1/08
Clam,1600,12/1/09
Clam,1790,12/1/10
Clam,1397,12/1/11
Clam,7,12/1/12
Clam,0,12/1/13
Shrimp,13834,1/1/97
Shrimp,13834,12/1/97
Shrimp,13289,12/1/98
Shrimp,14978,12/1/99
Shrimp,19209,12/1/00
Shrimp,14381,12/1/01
Shrimp,12558,12/1/02
Shrimp,13866,12/1/03
Shrimp,18679,12/1/04
Shrimp,19882,12/1/05
Shrimp,18067,12/1/06
Shrimp,16905,12/1/07
Shrimp,16504,12/1/08
Shrimp,20256,12/1/09
Shrimp,18722,12/1/10
Shrimp,12160,12/1/11
Shrimp,7061,12/1/12
Shrimp,3795,12/1/13
