month	year	temp
1	1750	3.034
1	1751	2.495
1	1752	0.348
1	1753	2.039
1	1754	1.574
1	1755	1.067
1	1756	3.887
1	1757	-0.276
1	1758	-1.503
1	1759	5.014
1	1760	-0.811
1	1761	0.6
1	1762	6.866
1	1763	1.369
1	1764	1.741
1	1765	3.78
1	1766	-0.793
1	1767	-0.643
1	1768	-2.08
1	1769	2.305
1	1770	1.974
1	1771	5.101
1	1772	1.253
1	1773	-0.437
1	1774	-0.325
1	1775	4.261
1	1776	-0.806
1	1777	6.021
1	1778	2.521
1	1779	1.47
1	1780	2.515
1	1781	2.401
1	1782	0.341
1	1783	-1.431
1	1784	2.596
1	1785	0.865
1	1786	0.763
1	1787	2.845
1	1788	0.735
1	1789	3.706
1	1790	2.444
1	1791	1.493
1	1792	0.348
1	1793	0.521
1	1794	3.71
1	1795	2.731
1	1796	2.844
1	1797	4.396
1	1798	2.679
1	1799	1.923
1	1800	2.815
1	1801	2.687
1	1802	3.74
1	1803	0.602
1	1804	2.445
1	1805	2.822
1	1806	2.917
1	1807	1.055
1	1808	1.131
1	1809	0.208
1	1810	0.888
1	1811	1.374
1	1812	0.977
1	1813	-1.385
1	1814	1.502
1	1815	2.051
1	1816	2.737
1	1817	1.54
1	1818	1.204
1	1819	1.014
1	1820	1.236
1	1821	2.999
1	1822	2.759
1	1823	1.758
1	1824	2.651
1	1825	3.213
1	1826	1.893
1	1827	3.593
1	1828	0.595
1	1829	2.032
1	1830	2.957
1	1831	2.182
1	1832	1.717
1	1833	2.006
1	1834	0.334
1	1835	2.551
1	1836	1.67
1	1837	1.94
1	1838	-0.557
1	1839	2.156
1	1840	2.561
1	1841	0.649
1	1842	1.636
1	1843	2.974
1	1844	1.868
1	1845	2.661
1	1846	3.213
1	1847	2.753
1	1848	0.51
1	1849	1.941
1	1850	0.749
1	1851	2.431
1	1852	2.376
1	1853	1.786
1	1854	1.281
1	1855	2.522
1	1856	2.76
1	1857	1.821
1	1858	2.739
1	1859	2.015
1	1860	2.077
1	1861	0.404
1	1862	0.685
1	1863	3.034
1	1864	1.551
1	1865	2.975
1	1866	2.932
1	1867	2.482
1	1868	1.834
1	1869	2.115
1	1870	2.082
1	1871	1.447
1	1872	1.652
1	1873	2.013
1	1874	2.685
1	1875	1.533
1	1876	1.856
1	1877	2.286
1	1878	2.017
1	1879	2.303
1	1880	1.755
1	1881	2.461
1	1882	2.99
1	1883	1.46
1	1884	2.12
1	1885	1.003
1	1886	1.436
1	1887	0.824
1	1888	1.708
1	1889	1.762
1	1890	1.836
1	1891	1.678
1	1892	2.018
1	1893	0.5
1	1894	1.691
1	1895	1.295
1	1896	2.291
1	1897	1.893
1	1898	2.737
1	1899	2.515
1	1900	1.461
1	1901	2.191
1	1902	2.684
1	1903	2.514
1	1904	1.637
1	1905	2.254
1	1906	2.068
1	1907	1.798
1	1908	2.304
1	1909	1.395
1	1910	2.333
1	1911	1.66
1	1912	2.402
1	1913	2.083
1	1914	3.376
1	1915	2.299
1	1916	2.616
1	1917	2.133
1	1918	1.934
1	1919	2.184
1	1920	2.841
1	1921	2.98
1	1922	2.15
1	1923	2.487
1	1924	2.339
1	1925	2.268
1	1926	3.453
1	1927	2.372
1	1928	3.046
1	1929	2.054
1	1930	2.401
1	1931	2.761
1	1932	3.604
1	1933	2.169
1	1934	2.476
1	1935	2.175
1	1936	2.249
1	1937	2.453
1	1938	2.91
1	1939	2.932
1	1940	2.335
1	1941	2.735
1	1942	3.103
1	1943	2.396
1	1944	3.504
1	1945	2.525
1	1946	2.979
1	1947	2.597
1	1948	3.366
1	1949	3.219
1	1950	2.008
1	1951	2.138
1	1952	3.049
1	1953	2.964
1	1954	2.059
1	1955	3.412
1	1956	2.466
1	1957	2.488
1	1958	3.574
1	1959	2.959
1	1960	2.713
1	1961	2.926
1	1962	3.003
1	1963	2.901
1	1964	2.881
1	1965	2.862
1	1966	2.49
1	1967	2.71
1	1968	2.353
1	1969	1.966
1	1970	2.836
1	1971	2.967
1	1972	1.882
1	1973	3.038
1	1974	2.261
1	1975	3.059
1	1976	2.884
1	1977	2.492
1	1978	2.705
1	1979	2.679
1	1980	2.956
1	1981	3.785
1	1982	2.558
1	1983	3.445
1	1984	2.941
1	1985	3.01
1	1986	3.315
1	1987	3.139
1	1988	3.454
1	1989	2.71
1	1990	3.243
1	1991	3.195
1	1992	3.579
1	1993	3.301
1	1994	3.024
1	1995	3.54
1	1996	2.862
1	1997	3.165
1	1998	3.352
1	1999	3.544
1	2000	2.95
1	2001	3.336
1	2002	4.026
1	2003	3.981
1	2004	3.525
1	2005	3.808
1	2006	3.286
1	2007	4.579
1	2008	2.844
1	2009	3.687
1	2010	3.737
1	2011	3.282
1	2012	3.157
1	2013	3.685
1	2014	3.732
1	2015	3.881
2	1750	3.083
2	1751	0.963
2	1752	2.961520755
2	1753	0.715
2	1754	-1.249
2	1755	-0.108
2	1756	5.666
2	1757	3.704
2	1758	0.806
2	1759	4.082
2	1760	2.436
2	1761	2.735
2	1762	4.801
2	1763	0.771
2	1764	6.162
2	1765	3.832
2	1766	4.896
2	1767	3.932
2	1768	0.506
2	1769	2.164
2	1770	4.105
2	1771	-0.274
2	1772	1.478
2	1773	1.421
2	1774	4.914
2	1775	6.427
2	1776	4.825
2	1777	4.919
2	1778	6.094
2	1779	5.14
2	1780	4.08
2	1781	2.267
2	1782	0.639
2	1783	5.294
2	1784	0.989
2	1785	1.045
2	1786	2.657
2	1787	2.563
2	1788	3.581
2	1789	1.675
2	1790	2.973
2	1791	3.466
2	1792	3.62
2	1793	4.745
2	1794	3.605
2	1795	4.39
2	1796	2.736
2	1797	4.957
2	1798	3.213
2	1799	2.078
2	1800	3.634
2	1801	3.149
2	1802	2.828
2	1803	1.443
2	1804	1.939
2	1805	2.557
2	1806	2.937
2	1807	4.094
2	1808	2.142
2	1809	0.856
2	1810	2.391
2	1811	0.45
2	1812	0.131
2	1813	2.258
2	1814	1.689
2	1815	2.273
2	1816	0.676
2	1817	3.649
2	1818	0.755
2	1819	2.286
2	1820	2.145
2	1821	3.758
2	1822	4.465
2	1823	1.966
2	1824	2.679
2	1825	3.092
2	1826	1.533
2	1827	4.415
2	1828	1.853
2	1829	1.715
2	1830	4.085
2	1831	2.479
2	1832	1.833
2	1833	2.815
2	1834	2.329
2	1835	2.967
2	1836	2.371
2	1837	2.619
2	1838	1.563
2	1839	3.482
2	1840	2.102
2	1841	2.468
2	1842	2.787
2	1843	3.92
2	1844	2.038
2	1845	1.627
2	1846	3.376
2	1847	3.602
2	1848	3.726
2	1849	2.638
2	1850	3.071
2	1851	2.508
2	1852	2.54
2	1853	2.228
2	1854	1.941
2	1855	2.982
2	1856	2.226
2	1857	2.481
2	1858	2.284
2	1859	2.611
2	1860	2.632
2	1861	2.137
2	1862	1.769
2	1863	3.253
2	1864	2.506
2	1865	2.152
2	1866	2.274
2	1867	2.664
2	1868	2.039
2	1869	3.864
2	1870	2.134
2	1871	1.736
2	1872	2.35
2	1873	3.195
2	1874	3.069
2	1875	2.259
2	1876	2.617
2	1877	2.928
2	1878	3.728
2	1879	2.737
2	1880	2.052
2	1881	2.626
2	1882	3.231
2	1883	1.856
2	1884	2.474
2	1885	2.243
2	1886	1.793
2	1887	2.054
2	1888	2.039
2	1889	3.409
2	1890	2.516
2	1891	1.88
2	1892	2.805
2	1893	1.654
2	1894	2.923
2	1895	2
2	1896	2.707
2	1897	2.429
2	1898	2.354
2	1899	2.38
2	1900	3.098
2	1901	3.092
2	1902	3.606
2	1903	3.555
2	1904	2.297
2	1905	1.927
2	1906	2.301
2	1907	2.117
2	1908	2.769
2	1909	2.706
2	1910	2.779
2	1911	2.453
2	1912	3.354
2	1913	2.376
2	1914	3.2
2	1915	3.265
2	1916	2.957
2	1917	2.36
2	1918	2.455
2	1919	2.852
2	1920	2.755
2	1921	3.125
2	1922	2.376
2	1923	2.563
2	1924	2.888
2	1925	2.701
2	1926	3.717
2	1927	3.039
2	1928	3.333
2	1929	2.172
2	1930	3.152
2	1931	2.708
2	1932	2.989
2	1933	2.657
2	1934	3.699
2	1935	4.125
2	1936	2.506
2	1937	3.553
2	1938	3.417
2	1939	3.232
2	1940	3.423
2	1941	3.67
2	1942	2.857
2	1943	3.513
2	1944	3.591
2	1945	2.646
2	1946	3.461
2	1947	3.277
2	1948	3.22
2	1949	2.759
2	1950	2.721
2	1951	2.332
2	1952	3.396
2	1953	3.629
2	1954	3.084
2	1955	3.137
2	1956	2.781
2	1957	3.12
2	1958	3.695
2	1959	3.33
2	1960	3.798
2	1961	3.683
2	1962	3.696
2	1963	4.02
2	1964	3.028
2	1965	3.036
2	1966	3.29
2	1967	2.905
2	1968	3.245
2	1969	2.45
2	1970	3.735
2	1971	2.867
2	1972	2.609
2	1973	3.898
2	1974	2.582
2	1975	3.395
2	1976	3.031
2	1977	3.471
2	1978	3.456
2	1979	2.841
2	1980	3.652
2	1981	4.021
2	1982	3.281
2	1983	3.814
2	1984	3.093
2	1985	2.704
2	1986	3.991
2	1987	4.134
2	1988	3.422
2	1989	3.627
2	1990	3.643
2	1991	4.044
2	1992	3.931
2	1993	3.745
2	1994	2.81
2	1995	4.656
2	1996	4.012
2	1997	3.766
2	1998	4.826
2	1999	4.694
2	2000	4.184
2	2001	3.72
2	2002	4.704
2	2003	4.085
2	2004	4.499
2	2005	3.92
2	2006	4.43
2	2007	4.221
2	2008	3.576
2	2009	4.094
2	2010	4.399
2	2011	3.743
2	2012	3.628
2	2013	4.222
2	2014	3.5
2	2015	4.664
3	1750	5.626
3	1751	5.8
3	1752	5.806
3	1753	5.424
3	1754	3.677
3	1755	3.607
3	1756	4.192
3	1757	4.529
3	1758	3.765
3	1759	4.52
3	1760	1.864
3	1761	5.976
3	1762	3.528
3	1763	1.576
3	1764	5.521
3	1765	6.859
3	1766	6.062
3	1767	7.022
3	1768	2.446
3	1769	4.57
3	1770	1.612
3	1771	2.814
3	1772	3.057
3	1773	4.422
3	1774	5.643
3	1775	7.759
3	1776	4.652
3	1777	5.572
3	1778	4.604
3	1779	6.967
3	1780	5.724
3	1781	4.772
3	1782	2.565
3	1783	4.799
3	1784	3.919
3	1785	2.289
3	1786	5.648
3	1787	4.698
3	1788	5.336
3	1789	3.989
3	1790	4.582
3	1791	4.79
3	1792	4.429
3	1793	5.042
3	1794	5.696
3	1795	5.709
3	1796	3.477
3	1797	4.056
3	1798	7.008
3	1799	3.986
3	1800	4.452
3	1801	6.455
3	1802	5.201
3	1803	4.875
3	1804	4.425
3	1805	5.76
3	1806	4.691
3	1807	4.788
3	1808	4.361
3	1809	3.425
3	1810	5.014
3	1811	3.701
3	1812	2.044
3	1813	1.596
3	1814	2.664
3	1815	3.663
3	1816	3.905
3	1817	4.569
3	1818	5.565
3	1819	2.931
3	1820	4.618
3	1821	5.462
3	1822	7.787
3	1823	5.068
3	1824	5.357
3	1825	5.365
3	1826	4.888
3	1827	6.141
3	1828	5.729
3	1829	5.061
3	1830	4.454
3	1831	4.558
3	1832	4.65
3	1833	4.521
3	1834	5.736
3	1835	4.507
3	1836	5.448
3	1837	3.865
3	1838	3.723
3	1839	2.673
3	1840	4.04
3	1841	3.307
3	1842	5.75
3	1843	4.744
3	1844	4.734
3	1845	4.651
3	1846	6.314
3	1847	4.046
3	1848	4.806
3	1849	5.302
3	1850	4.954
3	1851	4.192
3	1852	3.884
3	1853	4.078
3	1854	4.698
3	1855	4.617
3	1856	4.372
3	1857	4.312
3	1858	4.834
3	1859	5.023
3	1860	3.494
3	1861	4.489
3	1862	4.485
3	1863	4.682
3	1864	4.651
3	1865	4.039
3	1866	4.421
3	1867	4.454
3	1868	4.538
3	1869	4.374
3	1870	4.656
3	1871	4.685
3	1872	4.922
3	1873	4.704
3	1874	4.221
3	1875	4.256
3	1876	4.748
3	1877	5.297
3	1878	6.608
3	1879	4.924
3	1880	4.63
3	1881	5.01
3	1882	5.04
3	1883	4.929
3	1884	3.892
3	1885	4.622
3	1886	4.262
3	1887	4.552
3	1888	4.3
3	1889	5.299
3	1890	4.21
3	1891	4.755
3	1892	4.362
3	1893	4.979
3	1894	5.118
3	1895	4.689
3	1896	4.279
3	1897	4.345
3	1898	3.751
3	1899	4.618
3	1900	5.492
3	1901	5.671
3	1902	4.883
3	1903	4.93
3	1904	4.506
3	1905	4.635
3	1906	4.866
3	1907	4.575
3	1908	4.136
3	1909	4.589
3	1910	4.606
3	1911	4.347
3	1912	4.356
3	1913	4.517
3	1914	4.942
3	1915	5.143
3	1916	4.846
3	1917	4.488
3	1918	4.811
3	1919	4.743
3	1920	5.227
3	1921	5.081
3	1922	5.156
3	1923	4.866
3	1924	5.352
3	1925	5.126
3	1926	5.831
3	1927	4.668
3	1928	4.959
3	1929	5.099
3	1930	5.483
3	1931	5.22
3	1932	4.94
3	1933	4.869
3	1934	4.818
3	1935	5.399
3	1936	5.031
3	1937	4.851
3	1938	5.651
3	1939	4.926
3	1940	5.424
3	1941	5.213
3	1942	5.308
3	1943	5.138
3	1944	5.531
3	1945	5.184
3	1946	5.236
3	1947	5.801
3	1948	4.919
3	1949	5.077
3	1950	5.247
3	1951	5.091
3	1952	4.967
3	1953	5.712
3	1954	5.148
3	1955	4.585
3	1956	4.889
3	1957	5.036
3	1958	5.453
3	1959	5.854
3	1960	4.303
3	1961	5.589
3	1962	5.53
3	1963	5.097
3	1964	4.865
3	1965	5.182
3	1966	5.527
3	1967	5.396
3	1968	6.117
3	1969	5.131
3	1970	5.272
3	1971	5.001
3	1972	5.287
3	1973	5.82
3	1974	5.19
3	1975	5.706
3	1976	4.517
3	1977	5.702
3	1978	5.607
3	1979	5.474
3	1980	5.367
3	1981	6.239
3	1982	4.873
3	1983	5.699
3	1984	5.671
3	1985	5.451
3	1986	5.755
3	1987	5.245
3	1988	5.931
3	1989	5.792
3	1990	6.73
3	1991	5.574
3	1992	5.952
3	1993	5.923
3	1994	5.731
3	1995	5.956
3	1996	5.524
3	1997	6.012
3	1998	6.023
3	1999	5.53
3	2000	6.219
3	2001	6.208
3	2002	6.772
3	2003	6.048
3	2004	6.321
3	2005	6.544
3	2006	6.329
3	2007	6.485
3	2008	6.906
3	2009	6.086
3	2010	6.738
3	2011	6.101
3	2012	6.023
3	2013	6.261
3	2014	6.378
3	2015	6.74
4	1750	0
4	1751	0
4	1752	0
4	1753	0
4	1754	0
4	1755	0
4	1756	0
4	1757	0
4	1758	0
4	1759	0
4	1760	0
4	1761	0
4	1762	0
4	1763	0
4	1764	0
4	1765	0
4	1766	0
4	1767	0
4	1768	0
4	1769	0
4	1770	0
4	1771	0
4	1772	0
4	1773	0
4	1774	0
4	1775	0
4	1776	0
4	1777	0
4	1778	0
4	1779	0
4	1780	0
4	1781	0
4	1782	0
4	1783	0
4	1784	0
4	1785	0
4	1786	0
4	1787	0
4	1788	0
4	1789	0
4	1790	0
4	1791	0
4	1792	0
4	1793	0
4	1794	0
4	1795	0
4	1796	0
4	1797	0
4	1798	0
4	1799	0
4	1800	0
4	1801	0
4	1802	0
4	1803	0
4	1804	0
4	1805	0
4	1806	0
4	1807	0
4	1808	0
4	1809	0
4	1810	0
4	1811	0
4	1812	0
4	1813	0
4	1814	0
4	1815	0
4	1816	0
4	1817	0
4	1818	0
4	1819	0
4	1820	0
4	1821	0
4	1822	0
4	1823	0
4	1824	0
4	1825	0
4	1826	0
4	1827	0
4	1828	0
4	1829	0
4	1830	0
4	1831	0
4	1832	0
4	1833	0
4	1834	0
4	1835	0
4	1836	0
4	1837	0
4	1838	0
4	1839	0
4	1840	0
4	1841	0
4	1842	0
4	1843	0
4	1844	0
4	1845	0
4	1846	0
4	1847	0
4	1848	0
4	1849	0
4	1850	0
4	1851	0
4	1852	0
4	1853	0
4	1854	0
4	1855	0
4	1856	0
4	1857	0
4	1858	0
4	1859	0
4	1860	0
4	1861	0
4	1862	0
4	1863	0
4	1864	0
4	1865	0
4	1866	0
4	1867	0
4	1868	0
4	1869	0
4	1870	0
4	1871	0
4	1872	0
4	1873	0
4	1874	0
4	1875	0
4	1876	0
4	1877	0
4	1878	0
4	1879	0
4	1880	0
4	1881	0
4	1882	0
4	1883	0
4	1884	0
4	1885	0
4	1886	0
4	1887	0
4	1888	0
4	1889	0
4	1890	0
4	1891	0
4	1892	0
4	1893	0
4	1894	0
4	1895	0
4	1896	0
4	1897	0
4	1898	0
4	1899	0
4	1900	0
4	1901	0
4	1902	0
4	1903	0
4	1904	0
4	1905	0
4	1906	0
4	1907	0
4	1908	0
4	1909	0
4	1910	0
4	1911	0
4	1912	0
4	1913	0
4	1914	0
4	1915	0
4	1916	0
4	1917	0
4	1918	0
4	1919	0
4	1920	0
4	1921	0
4	1922	0
4	1923	0
4	1924	0
4	1925	0
4	1926	0
4	1927	0
4	1928	0
4	1929	0
4	1930	0
4	1931	0
4	1932	0
4	1933	0
4	1934	0
4	1935	0
4	1936	0
4	1937	0
4	1938	0
4	1939	0
4	1940	0
4	1941	0
4	1942	0
4	1943	0
4	1944	0
4	1945	0
4	1946	0
4	1947	0
4	1948	0
4	1949	0
4	1950	0
4	1951	0
4	1952	0
4	1953	0
4	1954	0
4	1955	0
4	1956	0
4	1957	0
4	1958	0
4	1959	0
4	1960	0
4	1961	0
4	1962	0
4	1963	0
4	1964	0
4	1965	0
4	1966	0
4	1967	0
4	1968	0
4	1969	0
4	1970	0
4	1971	0
4	1972	0
4	1973	0
4	1974	0
4	1975	0
4	1976	0
4	1977	0
4	1978	0
4	1979	0
4	1980	0
4	1981	0
4	1982	0
4	1983	0
4	1984	0
4	1985	0
4	1986	0
4	1987	0
4	1988	0
4	1989	0
4	1990	0
4	1991	0
4	1992	0
4	1993	0
4	1994	0
4	1995	0
4	1996	0
4	1997	0
4	1998	0
4	1999	0
4	2000	0
4	2001	0
4	2002	0
4	2003	0
4	2004	0
4	2005	0
4	2006	0
4	2007	0
4	2008	0
4	2009	0
4	2010	0
4	2011	0
4	2012	0
4	2013	0
4	2014	0
4	2015	0
5	1750	0
5	1751	0
5	1752	0
5	1753	0
5	1754	0
