state,date,close
AL,1,7000
AL,2,7500
AL,3,8500
AL,4,8000
AL,5,7500
AK,1,0
AK,2,0
AK,3,0
AK,4,0
AK,5,0
AZ,1,35000
AZ,2,33000
AZ,3,40000
AZ,4,36000
AZ,5,30000
AR,1,13000
AR,2,13500
AR,3,23000
AR,4,23000
AR,5,27000
CA,1,1440000
CA,2,1040000
CA,3,730000
CA,4,750000
CA,5,1140000
CO,1,3500
CO,2,12000
CO,3,29000
CO,4,24000
CO,5,6000
CT,1,3900
CT,2,3000
CT,3,3700
CT,4,3200
CT,5,2700
DE,1,0
DE,2,0
DE,3,0
DE,4,0
DE,5,0
DC,1,0
DC,2,0
DC,3,0
DC,4,0
DC,5,0
FL,1,305000
FL,2,210000
FL,3,164000
FL,4,220000
FL,5,245000
GA,1,104000
GA,2,114000
GA,3,108000
GA,4,110000
GA,5,100000
HI,1,10500
HI,2,13500
HI,3,14500
HI,4,13000
HI,5,15000
ID,1,81000
ID,2,62000
ID,3,80000
ID,4,121000
ID,5,90000
IL,1,6000
IL,2,9500
IL,3,14000
IL,4,14000
IL,5,7000
IN,1,9000
IN,2,8000
IN,3,15000
IN,4,11500
IN,5,6500
IA,1,12500
IA,2,12500
IA,3,29000
IA,4,35000
IA,5,16500
KS,1,4600
KS,2,6000
KS,3,9000
KS,4,8500
KS,5,4700
KY,1,7500
KY,2,7500
KY,3,10000
KY,4,8500
KY,5,7000
LA,1,51000
LA,2,44000
LA,3,50000
LA,4,55000
LA,5,68000
ME,1,3100
ME,2,4600
ME,3,6000
ME,4,4700
ME,5,2200
MD,1,7500
MD,2,8000
MD,3,7000
MD,4,7500
MD,5,6500
MA,1,2900
MA,2,4100
MA,3,7500
MA,4,4500
MA,5,3000
MI,1,16500
MI,2,58000
MI,3,89000
MI,4,67000
MI,5,25000
MN,1,28000
MN,2,71000
MN,3,133000
MN,4,104000
MN,5,37000
MS,1,34000
MS,2,89000
MS,3,23000
MS,4,31000
MS,5,24000
MO,1,12000
MO,2,11500
MO,3,14000
MO,4,13500
MO,5,11500
MT,1,8500
MT,2,36000
MT,3,140000
MT,4,116000
MT,5,15500
NE,1,10000
NE,2,29000
NE,3,67000
NE,4,72000
NE,5,10500
NV,1,0
NV,2,0
NV,3,0
NV,4,0
NV,5,0
NH,1,0
NH,2,0
NH,3,0
NH,4,0
NH,5,0
NJ,1,6000
NJ,2,8500
NJ,3,18500
NJ,4,8000
NJ,5,8500
NM,1,7000
NM,2,6500
NM,3,6500
NM,4,6000
NM,5,6000
NY,1,27000
NY,2,24000
NY,3,44000
NY,4,45000
NY,5,31000
NC,1,24000
NC,2,19500
NC,3,24000
NC,4,22000
NC,5,18500
ND,1,57000
ND,2,121000
ND,3,460000
ND,4,230000
ND,5,82000
OH,1,18000
OH,2,17500
OH,3,23000
OH,4,19000
OH,5,16000
OK,1,9500
OK,2,25000
OK,3,19500
OK,4,5000
OK,5,6000
OR,1,77000
OR,2,82000
OR,3,68000
OR,4,100000
OR,5,70000
PA,1,14000
PA,2,15500
PA,3,25000
PA,4,22000
PA,5,12500
RI,1,0
RI,2,0
RI,3,0
RI,4,0
RI,5,0
SC,1,17000
SC,2,17500
SC,3,12000
SC,4,10000
SC,5,16500
SD,1,50000
SD,2,100000
SD,3,295000
SD,4,194000
SD,5,30000
TN,1,9500
TN,2,7500
TN,3,10000
TN,4,8500
TN,5,9000
TX,1,191000
TX,2,305000
TX,3,76000
TX,4,125000
TX,5,240000
UT,1,6000
UT,2,24000
UT,3,31000
UT,4,28000
UT,5,12000
VT,1,5500
VT,2,6000
VT,3,6000
VT,4,6500
VT,5,5500
VA,1,8000
VA,2,7500
VA,3,8000
VA,4,7500
VA,5,6500
WA,1,52000
WA,2,105000
WA,3,84000
WA,4,87000
WA,5,78000
WV,1,4700
WV,2,4700
WV,3,7000
WV,4,7000
WV,5,6500
WI,1,16500
WI,2,25000
WI,3,60000
WI,4,48000
WI,5,22000
WY,1,5500
WY,2,12000
WY,3,29000
WY,4,24000
WY,5,2700
