month	year	temp
1	1750	0
1	1751	0
1	1752	0
1	1753	0
1	1754	0
1	1755	0
1	1756	0
1	1757	0
1	1758	0
1	1759	0
1	1760	0
1	1761	0
1	1762	0
1	1763	0
1	1764	0
1	1765	0
1	1766	0
1	1767	0
1	1768	0
1	1769	0
1	1770	0
1	1771	0
1	1772	0
1	1773	0
1	1774	0
1	1775	0
1	1776	0
1	1777	0
1	1778	0
1	1779	0
1	1780	0
1	1781	0
1	1782	0
1	1783	0
1	1784	0
1	1785	0
1	1786	0
1	1787	0
1	1788	0
1	1789	0
1	1790	0
1	1791	0
1	1792	0
1	1793	0
1	1794	0
1	1795	0
1	1796	0
1	1797	0
1	1798	0
1	1799	0
1	1800	0
1	1801	0
1	1802	0
1	1803	0
1	1804	0
1	1805	0
1	1806	0
1	1807	0
1	1808	0
1	1809	0
1	1810	0
1	1811	0
1	1812	0
1	1813	0
1	1814	0
1	1815	0
1	1816	0
1	1817	0
1	1818	0
1	1819	0
1	1820	0
1	1821	0
1	1822	0
1	1823	0
1	1824	0
1	1825	0
1	1826	0
1	1827	0
1	1828	0
1	1829	0
1	1830	0
1	1831	0
1	1832	0
1	1833	0
1	1834	0
1	1835	0
1	1836	0
1	1837	0
1	1838	0
1	1839	0
1	1840	0
1	1841	0
1	1842	0
1	1843	0
1	1844	0
1	1845	0
1	1846	0
1	1847	0
1	1848	0
1	1849	0
1	1850	0
1	1851	0
1	1852	0
1	1853	0
1	1854	0
1	1855	0
1	1856	0
1	1857	0
1	1858	0
1	1859	0
1	1860	0
1	1861	0
1	1862	0
1	1863	0
1	1864	0
1	1865	0
1	1866	0
1	1867	0
1	1868	0
1	1869	0
1	1870	0
1	1871	0
1	1872	0
1	1873	0
1	1874	0
1	1875	0
1	1876	0
1	1877	0
1	1878	0
1	1879	0
1	1880	0
1	1881	0
1	1882	0
1	1883	0
1	1884	0
1	1885	0
1	1886	0
1	1887	0
1	1888	0
1	1889	0
1	1890	0
1	1891	0
1	1892	0
1	1893	0
1	1894	0
1	1895	0
1	1896	0
1	1897	0
1	1898	0
1	1899	0
1	1900	0
1	1901	0
1	1902	0
1	1903	0
1	1904	0
1	1905	0
1	1906	0
1	1907	0
1	1908	0
1	1909	0
1	1910	0
1	1911	0
1	1912	0
1	1913	0
1	1914	0
1	1915	0
1	1916	0
1	1917	0
1	1918	0
1	1919	0
1	1920	0
1	1921	0
1	1922	0
1	1923	0
1	1924	0
1	1925	0
1	1926	0
1	1927	0
1	1928	0
1	1929	0
1	1930	0
1	1931	0
1	1932	0
1	1933	0
1	1934	0
1	1935	0
1	1936	0
1	1937	0
1	1938	0
1	1939	0
1	1940	0
1	1941	0
1	1942	0
1	1943	0
1	1944	0
1	1945	0
1	1946	0
1	1947	0
1	1948	0
1	1949	0
1	1950	0
1	1951	0
1	1952	0
1	1953	0
1	1954	0
1	1955	0
1	1956	0
1	1957	0
1	1958	0
1	1959	0
1	1960	0
1	1961	0
1	1962	0
1	1963	0
1	1964	0
1	1965	0
1	1966	0
1	1967	0
1	1968	0
1	1969	0
1	1970	0
1	1971	0
1	1972	0
1	1973	0
1	1974	0
1	1975	0
1	1976	0
1	1977	0
1	1978	0
1	1979	0
1	1980	0
1	1981	0
1	1982	0
1	1983	0
1	1984	0
1	1985	0
1	1986	0
1	1987	0
1	1988	0
1	1989	0
1	1990	0
1	1991	0
1	1992	0
1	1993	0
1	1994	0
1	1995	0
1	1996	0
1	1997	0
1	1998	0
1	1999	0
1	2000	0
1	2001	0
1	2002	0
1	2003	0
1	2004	0
1	2005	0
1	2006	0
1	2007	0
1	2008	0
1	2009	0
1	2010	0
1	2011	0
1	2012	0
1	2013	0
1	2014	0
1	2015	0
2	1750	0
2	1751	0
2	1752	0
2	1753	0
2	1754	0
2	1755	0
2	1756	0
2	1757	0
2	1758	0
2	1759	0
2	1760	0
2	1761	0
2	1762	0
2	1763	0
2	1764	0
2	1765	0
2	1766	0
2	1767	0
2	1768	0
2	1769	0
2	1770	0
2	1771	0
2	1772	0
2	1773	0
2	1774	0
2	1775	0
2	1776	0
2	1777	0
2	1778	0
2	1779	0
2	1780	0
2	1781	0
2	1782	0
2	1783	0
2	1784	0
2	1785	0
2	1786	0
2	1787	0
2	1788	0
2	1789	0
2	1790	0
2	1791	0
2	1792	0
2	1793	0
2	1794	0
2	1795	0
2	1796	0
2	1797	0
2	1798	0
2	1799	0
2	1800	0
2	1801	0
2	1802	0
2	1803	0
2	1804	0
2	1805	0
2	1806	0
2	1807	0
2	1808	0
2	1809	0
2	1810	0
2	1811	0
2	1812	0
2	1813	0
2	1814	0
2	1815	0
2	1816	0
2	1817	0
2	1818	0
2	1819	0
2	1820	0
2	1821	0
2	1822	0
2	1823	0
2	1824	0
2	1825	0
2	1826	0
2	1827	0
2	1828	0
2	1829	0
2	1830	0
2	1831	0
2	1832	0
2	1833	0
2	1834	0
2	1835	0
2	1836	0
2	1837	0
2	1838	0
2	1839	0
2	1840	0
2	1841	0
2	1842	0
2	1843	0
2	1844	0
2	1845	0
2	1846	0
2	1847	0
2	1848	0
2	1849	0
2	1850	0
2	1851	0
2	1852	0
2	1853	0
2	1854	0
2	1855	0
2	1856	0
2	1857	0
2	1858	0
2	1859	0
2	1860	0
2	1861	0
2	1862	0
2	1863	0
2	1864	0
2	1865	0
2	1866	0
2	1867	0
2	1868	0
2	1869	0
2	1870	0
2	1871	0
2	1872	0
2	1873	0
2	1874	0
2	1875	0
2	1876	0
2	1877	0
2	1878	0
2	1879	0
2	1880	0
2	1881	0
2	1882	0
2	1883	0
2	1884	0
2	1885	0
2	1886	0
2	1887	0
2	1888	0
2	1889	0
2	1890	0
2	1891	0
2	1892	0
2	1893	0
2	1894	0
2	1895	0
2	1896	0
2	1897	0
2	1898	0
2	1899	0
2	1900	0
2	1901	0
2	1902	0
2	1903	0
2	1904	0
2	1905	0
2	1906	0
2	1907	0
2	1908	0
2	1909	0
2	1910	0
2	1911	0
2	1912	0
2	1913	0
2	1914	0
2	1915	0
2	1916	0
2	1917	0
2	1918	0
2	1919	0
2	1920	0
2	1921	0
2	1922	0
2	1923	0
2	1924	0
2	1925	0
2	1926	0
2	1927	0
2	1928	0
2	1929	0
2	1930	0
2	1931	0
2	1932	0
2	1933	0
2	1934	0
2	1935	0
2	1936	0
2	1937	0
2	1938	0
2	1939	0
2	1940	0
2	1941	0
2	1942	0
2	1943	0
2	1944	0
2	1945	0
2	1946	0
2	1947	0
2	1948	0
2	1949	0
2	1950	0
2	1951	0
2	1952	0
2	1953	0
2	1954	0
2	1955	0
2	1956	0
2	1957	0
2	1958	0
2	1959	0
2	1960	0
2	1961	0
2	1962	0
2	1963	0
2	1964	0
2	1965	0
2	1966	0
2	1967	0
2	1968	0
2	1969	0
2	1970	0
2	1971	0
2	1972	0
2	1973	0
2	1974	0
2	1975	0
2	1976	0
2	1977	0
2	1978	0
2	1979	0
2	1980	0
2	1981	0
2	1982	0
2	1983	0
2	1984	0
2	1985	0
2	1986	0
2	1987	0
2	1988	0
2	1989	0
2	1990	0
2	1991	0
2	1992	0
2	1993	0
2	1994	0
2	1995	0
2	1996	0
2	1997	0
2	1998	0
2	1999	0
2	2000	0
2	2001	0
2	2002	0
2	2003	0
2	2004	0
2	2005	0
2	2006	0
2	2007	0
2	2008	0
2	2009	0
2	2010	0
2	2011	0
2	2012	0
2	2013	0
2	2014	0
2	2015	0
3	1750	0
3	1751	0
3	1752	0
3	1753	0
3	1754	0
3	1755	0
3	1756	0
3	1757	0
3	1758	0
3	1759	0
3	1760	0
3	1761	0
3	1762	0
3	1763	0
3	1764	0
3	1765	0
3	1766	0
3	1767	0
3	1768	0
3	1769	0
3	1770	0
3	1771	0
3	1772	0
3	1773	0
3	1774	0
3	1775	0
3	1776	0
3	1777	0
3	1778	0
3	1779	0
3	1780	0
3	1781	0
3	1782	0
3	1783	0
3	1784	0
3	1785	0
3	1786	0
3	1787	0
3	1788	0
3	1789	0
3	1790	0
3	1791	0
3	1792	0
3	1793	0
3	1794	0
3	1795	0
3	1796	0
3	1797	0
3	1798	0
3	1799	0
3	1800	0
3	1801	0
3	1802	0
3	1803	0
3	1804	0
3	1805	0
3	1806	0
3	1807	0
3	1808	0
3	1809	0
3	1810	0
3	1811	0
3	1812	0
3	1813	0
3	1814	0
3	1815	0
3	1816	0
3	1817	0
3	1818	0
3	1819	0
3	1820	0
3	1821	0
3	1822	0
3	1823	0
3	1824	0
3	1825	0
3	1826	0
3	1827	0
