month	year	temp
1	1750	3
2	1750	3
3	1750	6
4	1750	8
5	1750	12
6	1750	13
7	1750	16
8	1750	15
9	1750	11
10	1750	6
11	1750	0
12	1750	3
1	1751	2
2	1751	1
3	1751	6
4	1751	8
5	1751	0
6	1751	14
7	1751	0
8	1751	14
9	1751	11
10	1751	0
11	1751	0
12	1751	0
1	1752	0
2	1752	0
3	1752	6
4	1752	8
5	1752	0
6	1752	0
7	1752	0
8	1752	0
9	1752	0
10	1752	8
11	1752	7
12	1752	5
1	1753	2
2	1753	1
3	1753	5
4	1753	8
5	1753	12
6	1753	15
7	1753	15
8	1753	14
9	1753	13
10	1753	9
11	1753	5
12	1753	1
1	1754	2
2	1754	-1
3	1754	4
4	1754	12
5	1754	12
6	1754	14
7	1754	15
8	1754	14
9	1754	11
10	1754	10
11	1754	6
12	1754	5
1	1755	1
2	1755	0
3	1755	4
4	1755	9
5	1755	13
6	1755	15
7	1755	14
8	1755	14
9	1755	12
10	1755	10
11	1755	6
12	1755	3
1	1756	4
2	1756	6
3	1756	4
4	1756	10
5	1756	14
6	1756	15
7	1756	14
8	1756	13
9	1756	13
10	1756	7
11	1756	4
12	1756	2
1	1757	0
2	1757	4
3	1757	5
4	1757	8
5	1757	13
6	1757	17
7	1757	18
8	1757	18
9	1757	15
10	1757	6
11	1757	4
12	1757	1
1	1758	-2
2	1758	1
3	1758	4
4	1758	7
5	1758	10
6	1758	13
7	1758	14
8	1758	12
9	1758	10
10	1758	2
11	1758	7
12	1758	3
1	1759	5
2	1759	4
3	1759	5
4	1759	6
5	1759	10
6	1759	14
7	1759	13
8	1759	15
9	1759	13
10	1759	8
11	1759	4
12	1759	0
1	1760	-1
2	1760	2
3	1760	2
4	1760	7
5	1760	11
6	1760	12
7	1760	13
8	1760	14
9	1760	11
10	1760	7
11	1760	5
12	1760	3
1	1761	1
2	1761	3
3	1761	6
4	1761	7
5	1761	13
6	1761	17
7	1761	19
8	1761	15
9	1761	13
10	1761	7
11	1761	5
12	1761	-1
1	1762	7
2	1762	5
3	1762	4
4	1762	9
5	1762	11
6	1762	13
7	1762	15
8	1762	14
9	1762	10
10	1762	6
11	1762	6
12	1762	3
1	1763	1
2	1763	1
3	1763	2
4	1763	8
5	1763	11
6	1763	12
7	1763	16
8	1763	14
9	1763	11
10	1763	6
11	1763	5
12	1763	3
1	1764	2
2	1764	6
3	1764	6
4	1764	8
5	1764	11
6	1764	12
7	1764	13
8	1764	12
9	1764	11
10	1764	10
11	1764	6
12	1764	5
1	1765	4
2	1765	4
3	1765	7
4	1765	9
5	1765	11
6	1765	11
7	1765	14
8	1765	13
9	1765	11
10	1765	8
11	1765	6
12	1765	2
1	1766	-1
2	1766	5
3	1766	6
4	1766	8
5	1766	11
6	1766	14
7	1766	14
