month	year	temp
1	1750	0
2	1750	0
3	1750	0
4	1750	0
5	1750	0
6	1750	0
7	1750	0
8	1750	0
9	1750	0
10	1750	0
11	1750	0
12	1750	0
1	1751	0
2	1751	0
3	1751	0
4	1751	0
5	1751	0
6	1751	0
7	1751	0
8	1751	0
9	1751	0
10	1751	0
11	1751	0
12	1751	0
1	1752	0
2	1752	0
3	1752	0
4	1752	0
5	1752	0
6	1752	0
7	1752	0
8	1752	0
9	1752	0
10	1752	0
11	1752	0
12	1752	0
1	1753	0
2	1753	0
3	1753	0
4	1753	0
5	1753	0
6	1753	0
7	1753	0
8	1753	0
9	1753	0
10	1753	0
11	1753	0
12	1753	0
1	1754	0
2	1754	0
3	1754	0
4	1754	0
5	1754	0
6	1754	0
7	1754	0
8	1754	0
9	1754	0
10	1754	0
11	1754	0
12	1754	0
1	1755	0
2	1755	0
3	1755	0
4	1755	0
5	1755	0
6	1755	0
7	1755	0
8	1755	0
9	1755	0
10	1755	0
11	1755	0
12	1755	0
1	1756	0
2	1756	0
3	1756	0
4	1756	0
5	1756	0
6	1756	0
7	1756	0
8	1756	0
9	1756	0
10	1756	0
11	1756	0
12	1756	0
1	1757	0
2	1757	0
3	1757	0
4	1757	0
5	1757	0
6	1757	0
7	1757	0
8	1757	0
9	1757	0
10	1757	0
11	1757	0
12	1757	0
1	1758	0
2	1758	0
3	1758	0
4	1758	0
5	1758	0
6	1758	0
7	1758	0
8	1758	0
9	1758	0
10	1758	0
11	1758	0
12	1758	0
1	1759	0
2	1759	0
3	1759	0
4	1759	0
5	1759	0
6	1759	0
7	1759	0
8	1759	0
9	1759	0
10	1759	0
11	1759	0
12	1759	0
1	1760	0
2	1760	0
3	1760	0
4	1760	0
5	1760	0
6	1760	0
7	1760	0
8	1760	0
9	1760	0
10	1760	0
11	1760	0
12	1760	0
1	1761	0
2	1761	0
3	1761	0
4	1761	0
5	1761	0
6	1761	0
7	1761	0
8	1761	0
9	1761	0
10	1761	0
11	1761	0
12	1761	0
1	1762	0
2	1762	0
3	1762	0
4	1762	0
5	1762	0
6	1762	0
7	1762	0
8	1762	0
9	1762	0
10	1762	0
11	1762	0
12	1762	0
1	1763	0
2	1763	0
3	1763	0
4	1763	0
5	1763	0
6	1763	0
7	1763	0
8	1763	0
9	1763	0
10	1763	0
11	1763	0
12	1763	0
1	1764	0
2	1764	0
3	1764	0
4	1764	0
5	1764	0
6	1764	0
7	1764	0
8	1764	0
9	1764	0
10	1764	0
11	1764	0
12	1764	0
1	1765	0
2	1765	0
3	1765	0
4	1765	0
5	1765	0
6	1765	0
7	1765	0
8	1765	0
9	1765	0
10	1765	0
11	1765	0
12	1765	0
1	1766	0
2	1766	0
3	1766	0
4	1766	0
5	1766	0
6	1766	0
7	1766	0
8	1766	0
9	1766	0
10	1766	0
11	1766	0
12	1766	0
1	1767	0
2	1767	0
3	1767	0
4	1767	0
5	1767	0
6	1767	0
7	1767	0
8	1767	0
9	1767	0
10	1767	0
11	1767	0
12	1767	0
1	1768	0
2	1768	0
3	1768	0
4	1768	0
5	1768	0
6	1768	0
7	1768	0
8	1768	0
